Abbie
Abra
Aczi
Agron
Aiko
Aira
Ajax
Ajra
Ajsza
Akeno
Aksa
Akuma
Alaska
Albinka
Alfa
Alpi
Alvin
Amber
Amigo
Amis
Amol
Amor
Amper
Ananas
Anesthesia
Anfi
Ange
Apach
Apik
Appa
Apsik
Arczci
Ardo
Ares
Arez
Argo
Argus
Aria
Armani
Armin
Aron
Arra
Arrakis
Arson
Artus
Arwena
Arya
Ashe
Asia
Aslan
Aston
Atena
Atom
Atos
Aura
Auriculaire
Aurora
Awof
Axel
Ayra
Aysha
Azard
Azazel
Azor
Babi
Badi
Bafia
Bagira
Bailly
Bajdek
Bajer
Bajka
Bajra
Bajtek
Bajzel
Bakara
Bakhitka
Baks
Baksio
Bakuś
Balbina
Baloo
Balto
Bambi
Bandi
Bari
Baron
Barry
Bart
Bary
Basco
Basta
Baster
Batman
Baxter
Bayra
Bazia
Bazyl
Bazyli
Bąbel
Bączuś
Beilis
Bejbi
Bekas
Beksio
Belatrix
Bella
Bello
Benek
Bengie
Benio
Beniu
Benji
Bentlay
Benuś
Bercik
Berni
Berta
Beryl
Bessi
Bestia
Beti
Betty
Beybe
Beza
Biała
Białasek
Bibi
Bibo
Bieluch
Bigi
Billy
Bilon
Bingo
Birma
Biszkopt
Black
Blanca
Blanka
Bletka
Blue
Bluemoon
Blues
Blumiś
Bobek
Bobi
Bobik
Bobo
Boczek
Bodo
Boksiu
Bolo
Bols
Bolt
Boluś
Bombel
Bombelina
Bombur
Bona
Bongo
Bonnie
Bono
Bordi
Borgio
Borówka
Borut
Borya
Borysek
Boss
Boston
Bounty
Boyka
Bradlej
Brasko
Brego
Brenda
Brendy
Brooklyn
Brownie
Bródka
Bruni
Brutus
Bryś
Bryśka
Bubu
Bubuś
Bucky
Buddy
Budyń
Bueno
Bujka
Buka
Bułka
Bunia
Buniek
Bunio
Burbon
Burger
Calathea
Calvin
Całka
Candy
Cappi
Cappuccino
Carlajna
Carlos
Carmel
Carmen
Carmena
Carola
Cassie
Cekin
Cekinka
Chacho
Chanel
Chaps
Charlie
Charm
Chelsea
Cherry
Chester
Chica
Chico
Chika
Chiko
Chila
Chili
Chini
Chloe
Choco
Chojraś
Chomcia
Chorizo
Chrupek
Chuck
Ciapek
Ciapo
Ciastek
Ciaudzia
Ciciuś
Ciga
Ciri
Clara
Clea
Cleo
Clifford
Coco
Codi
Coffee
Cola
Colli
Collinek
Colly
Combo
Cookie
Corin
Cosinus
Crusoe
Cukier
Cumin
Cygan
Cykor
Cynamon
Cypis
Cyryl
Cytryna
Czacza
Czaki
Czako
Czapkins
Czester
Czika
Czili
Cziro
Czort
CzuCzu
Czujka
Dabi
Dabo
Dafcia
Daffi
Dafinek
Daisy
Dakar
Dakota
Dama
Dante
Dantes
Dany
Darwin
Daster
Dasti
Daysy
Deany
Deasy
Debbie
Debra
Dejzi
Dekster
Delta
Demolka
Demon
Deneris
Denis
Dero
Dexter
Diabeł
Diablo
Diadem
Diament
Diego
Diesiel
Diksi
Dina
Dingo
Dino
Dios
Diva
Dixi
Dixon
Django
Docent
Dodo
Dolar
Dolly
Dora
Dorian
Doris
Dosiek
Draco
Drago
Dragon
Dragonka
Drako
Dredzia
Drops
Drzeki
Dudinek
Dudu
Dukat
Duma
Dunio
Dusia
Dyzio
Dzerald
Dzidka
Dzidzi
Dziunia
Dżadża
Dżasti
Dżejlo
Dżeki
Dżelka
Dżemik
Dżidżun
DżoDżo
Dżoker
Edzia
Eguś
Elias
Eliot
Elka
Elmo
Elvis
Elwirka
Enzo
Erbi
Escobar
Estrada
Ewer
Fado
Fafik
Fago
Fajfer
Falconera
Falicja
Falkor
Fama
Fanta
Farciarz
Farcik
Fart
Fatira
Faza
Fela
Felcia
Feli
Felicjana
Felix
Felka
Feluś
Femi
Fendi
Fenuś
Ferdek
Fero
Fetka
Fibi
Fido
Fifa
Fifcia
Fifi
Fifidorea
Fifka
Figa
Figaro
Figiel
Figo
Fija
Fika
Fiko
Filemon
Filo
Filuś
Finiek
Fiodor
Fiona
Fisia
Fiśka
Fituś
Fizia
Flapi
Floki
Flora
Florian
Florka
Fluffi
Fofulek
Fokus
Fraszka
Fred
Freddie
Fredzia
Freja
Freya
Frędzel
Frida
Frodo
Frotka
Frugo
Fryda
Frytka
Fryzia
Fuks
Fuksa
Fuksik
Furia
Futka
Gaba
Gabdhi
Gabor
Gacek
Gaja
Gala
Gambi
Gamoń
Gandalf
Gandzia
Gangster
Gapcia
Gapcio
Garfie
Garfield
Garfild
Garik
Garry
Gaston
Germania
Gibon
Gibson
Gines
Ginger
Gini
Gizmo
Glasi
Goja
Gokan
Gold
Goldi
Goliat
Goofy
Gordon
Gorge
Gracja
Graffi
Granat
Grand
Grappa
Grey
Gringo
Groszek
Gruchot
Grypsy
Gryzek
Gucci
Gucia
Gucio
Gumiś
Gunia
Gwiazda
Hachi
Hachiko
Haczi
Hades
Haga
Haidi
Hana
Hardi
Harley
Harmony
Harold
Harrison
Harry
Haru
Hasan
Heaven
Heidi
Heksan
Hera
Herbi
Hermann
Heros
Hetka
Hetman
Hexa
Hikari
Hira
Hiroya
Holi
Holy
Hood
Horus
Houki
House
Huana
Hugo
Hulk
Hunter
Hyziek
Ibis
Idefix
Idol
Igła
Ignaś
Inez
Inka
Iron
Isia
Iskra
Ivan
Ivar
Izmir
Izzy
Jacki
Jackie
Jager
Jagoda
Jamajka
Jampy
Janek
Jankes
Jarhead
Jasmine
Jasper
Jazz
Jeff
Jerry
Jesse
Jessica
Jessie
Jetta
Jimi
Jimmy
Jira
Jogi
Johnny
Joker
Joko
Jolie
Jordan
Jorguś
Joris
Joyka
Juka
Jumka
Juni
Junior
Kader
Kaiser
Kaja
Kajsa
Kala
Kali
Kama
Kapsel
Karat
Kari
Karlus
Karmel
Karmen
Kasel
Kasztan
Kawa
Kayko
Kayla
Kazan
Kejla
Kejsi
Keks
Kenay
Kenzo
Keri
Kesio
Kevin
Keysi
Kiara
Kiba
Kicek
Kicia
Kierat
Kika
Kiker
Kiki
Killer
Kimbo
Kimi
Kimiko
Kinia
Kira
Kiri
Kisztunia
Kita
Kiwi
Kizia
Klakier
Kleks
Klemek
Klemens
Kleosia
Klusek
Kluska
Kminek
Knapik
Kobi
Kobra
Kocio
Kodi
Kodo
Koffi
Kofi
Kohlo
Koka
Koko
Kokos
Kokosz
Koks
Kolec
Kolin
Kolubek
Kora
Korba
Kornelia
Kosmita
Kosmo
Kosmos
Kostek
Kostka
Kovu
Kraken
Kropa
Kropek
Kropka
Kropla
Krówka
Kruszyna	
Ksara
Ksenon
Książe
Księżniczka
Kuba
Kudłaty
Kuga
Kuka
Kuki
Kulka
Kumiko
Kusko
Kusy
Lady
Lafi
Laila
Lajla
Lajma
Laki
Lala
Lambo
Lamia
Lara
Largo
Latte
Layla
Lazar
Leia
Lejdi
Lejzi
Leksi
Leliks
Lemon
Lenny
Lenox
Leon
Leoncjo
Leonidas
Lerek
Lesio
Lestat
Lester
Leti
Letty
Levis
Lexi
Leyla
Liberate
Ligia
Lila
Lili
Lilly
Lilo
Lilu
Lincoln
Lisa
Lisek
Liska
Liya
Lizi
Loca
Loco
Logan
Loki
Lola
Lolivette
Lolly
Lonelity
Lora
Loras
Lord
Lotka
Lotta
Louis
Lucek
Lucia
Lucky
Lucy
Lucyfer
Luis
Luisa
Lujek
Luka
Lula
Lulu
Luna
Lunia
Lunita
Lupi
Lupus
Lusi
Lusia
Lussi
Łała
Łapka
Łatek
Łatka
Łidi
Łobuz
Łysek
Maciuś
Madi
Madlen
Mafia
Mafii
Mafin
Maggy
Magnum
Maja
Majek
Majkel
Majki
Majla
Majli
Majlo
Major
Majster
Majszi
Makao
Maks
Malina
Malkolm
Malmo
Maloszka
Malwka
Mały
Mamba
Mambo
Manami
Manfred
Mani
Mania
Maniek
Manio
Maniuś
Marcel
Marcelina
Marceliusz
Marcepan
Marco
Marcus
Marilyn
Markiz
Marley
Marshall
Marti
Marusia
Maruszka
Mary
Masaj
Masha
Maurycy
Maya
Maybe
Mayki
Meggi
Megi
Mejsi
Mela
Melman
Mentos
Mercedes
Merci
Merida
Merry
Mers
Messi
Metka
Miałkusia
Miatoretto
Michelle
Mici
Migotka
Mija
Mijka
Mika
Mikey
Miki
Mikie
Mikunia
Mikuś
Mila
Milik
Milka
MilkyWay
Milo
Milou
Milton
Miluś
Miła
Miłka
Mimi
Mini
Minia
Minka
Misa
Misha
Misia
Misio
Misiu
Misza
Miśka
Mitka
Mobi
Mohito
Mojo
Mokka
Molencja
Moli
Mollie
Molly
Mona
Monimir
Montana
Monti
Morcik
Morena
Morgan
Moria
Moris
Mort
Mozart
Mrówka
Mrunia
Mrużka
Mucha
Muchomor
Mućka
Mufi
Mufinka
Mufka
Muki
Mumin
Munduś
Muni
Mura
Mycha
Mysza
Nachos
Naki
Nala
Nami
Nana
Nasta
Nasus
Negro
Neira
Nelly
Nelos
Nelson
Nero
Nesca
Nesi
Nesquik
Neya
Nicko
Nico
Nigenek
Nika
Niki
Nikita
Niko
Nikodem
Nikon
Nila
