Abraham
Abram
Abramek
Adam
Adamek
Adaś
Aduś
Adek
Adusiek
Adolf
Adolfek
Dodek
Dodzio
Adrian
Adrianek
Agenor
Agen
Aguś
Norek
Aksel
Akselek
Alan
Alanek
Alek
Alban
Albi
Albert
Albercik
Albik
Bercik
Albin
Albinek
Albek
binek
Binio
Aleksander
Olek
Olo
Oluś
Oleś
Aleks
Alik
Aleksy
Alek.
Alfred
Alf
Fred
Fredek
Alojzy
Aloś
Amadeusz
Amad
Amek
Amuś
Deuś
Ambroży
Ambrożek
Ambroż
Brożek
Ananiasz
Anek
Anuś
Anastazy
Nastek
Nastuś
Anatol
Anatolek
Natol
Tolek
Toluś
Tolo
Andrzej
Andrzejek
Andruś
Antoni
Antek
Antoś
Toni
Tosiek
Anzelm
Anzelmek
An
Zel
Zelmek
Apolinary
Poldek
Polek
Poluś
Apoloniusz
Lonek
Ariel
Arielek
Arek
Arkadiusz
Areczek
Aruś
Arkady
Armin
Arminek
Armek
Arnold
Arnoldek
Arni
Arnuś
Aron
Aronek
Artur
Arturek
Artek
August
Augustek
Gucio
Gutek
Gustek
Aureli
Aurelek
Aurek
Aureliusz
Aureliuszek
Baltazar
Baltazarek
Baltek
Baltuś
Barnaba
Barnabek
Barnek
Barnuś
Nabek
Nabuś
Bartłomiej
Bartek
Bartuś
Bartosz
Bazyli
Bazylek
Bazyl
Baz
Benedykt
Benek
Benio
Benuś
Beniamin
Beniaminek
Benita
Benitka
Benia
Benka
Benisia
Benon
Benonek
Bernard
Bern
Bernaś
Bernek
Bernio
Bertold
Bertoldek
Bert
Bertuś
Błażej
Błażek
Błażko
Błażuś
Bogdan
Bogdanek
Boguś
Bodek
Bodzio
Bogumił
Bugumiłek
Miłek
Bogusław
Bogusławek
Sławek
Bogusz
Bolesław
Bolek
Bolko
Boluś
Boleś
Bolo
Bonawentura
Bonek
Boni
Bonio
Bonifacy
Bonik
Facek
Borys
Borysek
Boria
Borka
Bożydar
Bożek
Bożydarek
Darek
Bronisław
Bronek
Bronuś
Bron
Bronik
Bruno
Brunek
Brunio
Brunonek
Brunik
Brunon
Cezar
Cezarek
Czarek
Czaruś
Cezary
Chrystian
Chrystek
Chrystuś
Chrys
Krystian
Krystek
Cyprian
Cyprianek
Cypek
Cypuś
Cyryl
Cyrylek
Cyrek
Czesław
Czesiek
Czechu
Czesiu
Czesio
Czesiulek
Cześ
Dacjan
Dacjanek
Dacek
Dacuś
Dagobert
Dag
Daguś
Dago
rzadziej
Damazy
Damazio
Damaz
Damek
Damian
Damianek
Danek
Daniel
Danielek
Daniek
Danik
Danio
Dariusz
Dariuszek
Dareczek
Daruś
Dawid
Dawidek
Dawik
Dawiś
Widek
Denis
Denisek
Deniś
Denik
Dezydery
Dezyderek
Dezy
Derek
Dery
Dionizy
Dionek
Dion
Dionik
Nizy
Nizek
Nizuś
Dobromir
Dobromirek
Dobruś
Dobrosiek
Dobrek
Mirek
Dobrosław
Dobrosławek
Doman
Domanek
Domek
Domuś
Dominik
Domik
Dominek
Dominiczek
Nik
Donat
Donek
Donatek
Donuś
Dorian
Dorianek
Dorek
Doruś
czasem
Duszan
Duszanek
Duszek
Dusio
Dymitr
Dymik
Dymek
Dima
Edgar
Edgarek
Edi
Ed
Edmund
Mundek
Edward
Edek
Edzio
Edwin
Edwinek
Edwiś
Emanuel
Emanuelek
Emek
Elek
Manek
Emil
Emilek
Milek
Emilian
Milian
Erazm
Erazmek
Razmuś
Razmek
Ernest
Erneścik
Ernestek
Erni
Nestek
Erwin
Erwinek
Erwi
Eri
Winek
Winuś
Eryk
Eryczek
Eryś
Rik
Eugeniusz
Gienek
Genek
Gienuś
Eustachy
Eustaszek
Stach
Staszek
Staś
Euzebiusz
Ebi
Euzebek
Zebek
Zebuś
Ewaryst
Ewarystek
Ewar
Warek
Fabian
Fabianek
Fabek
Fabuś
Fabrycy
Fabrycek
Faustyn
Faustynek
Faustek
Felicjan
Felek
Felicjanek
Janek
Jan
Feliks
Fel
Feluś
Feliksek
Ferdynand
Ferdek
Ferd
Nandek
Filip
